날짜,강수량(mm)
2015-05-09,
2015-05-10,
2015-05-11,14
2015-05-12,9.5
2015-05-13,0
2015-05-14,
2015-05-15,
2015-05-16,
2015-05-17,
2015-05-18,
2015-05-19,1
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-23,
2015-05-24,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-05-30,0.4
2015-05-31,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,1
2015-06-06,
2015-06-07,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,7.5
2015-06-12,0.5
2015-06-13,0.5
2015-06-14,15.5
2015-06-15,
2015-06-16,
2015-06-17,9.5
2015-06-18,3
2015-06-19,
2015-06-20,44.5
2015-06-21,
2015-06-22,
2015-06-23,
2015-06-24,
2015-06-25,2
2015-06-26,12.5
2015-06-27,
2015-06-28,
2015-06-29,0
2015-06-30,2.5
2015-07-01,0.5
2015-07-02,
2015-07-03,
2015-07-04,
2015-07-05,
2015-07-06,
2015-07-07,
2015-07-08,0.5
2015-07-09,
2015-07-10,
2015-07-11,0
2015-07-12,29
2015-07-13,10
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-18,0.5
2015-07-19,5
2015-07-20,
2015-07-21,11
2015-07-22,1
2015-07-23,16
2015-07-24,26.5
2015-07-25,80
2015-07-26,40.5
2015-07-27,1.5
2015-07-28,0
2015-07-29,4
2015-07-30,
2015-07-31,
2015-08-01,
2015-08-02,16.5
2015-08-03,0
2015-08-04,
2015-08-05,0.1
2015-08-06,
2015-08-07,11
2015-08-08,7.5
2015-08-09,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,0
2015-08-14,
2015-08-15,0.1
2015-08-16,29
2015-08-17,
2015-08-18,
2015-08-19,0
2015-08-20,0.4
2015-08-21,2.5
2015-08-22,0
2015-08-23,
2015-08-24,
2015-08-25,5.5
2015-08-26,0
2015-08-27,0
2015-08-28,0.3
2015-08-29,
2015-08-30,0
2015-08-31,
2015-09-01,
2015-09-02,0.5
2015-09-03,18
2015-09-04,
2015-09-05,5
2015-09-06,
2015-09-07,
2015-09-08,
2015-09-09,
2015-09-10,
2015-09-11,2.5
2015-09-12,
2015-09-13,
2015-09-14,
2015-09-15,
2015-09-16,
2015-09-17,
2015-09-18,
2015-09-19,
2015-09-20,
2015-09-21,
2015-09-22,
2015-09-23,
2015-09-24,
2015-09-25,
2015-09-26,
2015-09-27,
2015-09-28,0
2015-09-29,
2015-09-30,
2015-10-01,35
2015-10-02,
2015-10-03,
2015-10-04,
2015-10-05,
2015-10-06,
2015-10-07,
2015-10-08,
2015-10-09,
2015-10-10,3.5
2015-10-11,3.5
2015-10-12,
2015-10-13,
2015-10-14,
2015-10-15,
2015-10-16,
2015-10-17,
2015-10-18,
2015-10-19,
2015-10-20,
2015-10-21,
2015-10-22,
2015-10-23,
2015-10-24,10.5
2015-10-25,
2015-10-26,2
2015-10-27,26.5
2015-10-28,
2015-10-29,0.5
2015-10-30,
2015-10-31,
2016-05-01,
2016-05-02,16.5
2016-05-03,27
2016-05-04,
2016-05-05,7.5
2016-05-06,9.5
2016-05-07,
2016-05-08,
2016-05-09,0
2016-05-10,13.5
2016-05-11,
2016-05-12,
2016-05-13,0.5
2016-05-14,
2016-05-15,45
2016-05-16,2.5
2016-05-17,
2016-05-18,
2016-05-19,
2016-05-20,
2016-05-21,
2016-05-22,
2016-05-23,
2016-05-24,38.5
2016-05-25,
2016-05-26,0
2016-05-27,
2016-05-28,
2016-05-29,
2016-05-30,
2016-05-31,
2016-06-01,
2016-06-02,
2016-06-03,
2016-06-04,
2016-06-05,
2016-06-06,0
2016-06-07,0.1
2016-06-08,
2016-06-09,
2016-06-10,
2016-06-11,3
2016-06-12,1.5
2016-06-13,
2016-06-14,0
2016-06-15,15.5
2016-06-16,0
2016-06-17,
2016-06-18,
2016-06-19,0
2016-06-20,
2016-06-21,
2016-06-22,30.5
2016-06-23,0.1
2016-06-24,3.5
2016-06-25,
2016-06-26,
2016-06-27,
2016-06-28,
2016-06-29,
2016-06-30,0.2
2016-07-01,108.5
2016-07-02,4
2016-07-03,
2016-07-04,29.5
2016-07-05,100.5
2016-07-06,0
2016-07-07,0
2016-07-08,
2016-07-09,
2016-07-10,
2016-07-11,0
2016-07-12,3
2016-07-13,0
2016-07-14,0.1
2016-07-15,1.5
2016-07-16,46.5
2016-07-17,2.5
2016-07-18,0.2
2016-07-19,
2016-07-20,
2016-07-21,
2016-07-22,
2016-07-23,0.5
2016-07-24,0.5
2016-07-25,
2016-07-26,
2016-07-27,0.5
2016-07-28,0.2
2016-07-29,59.5
2016-07-30,0.5
2016-07-31,0.2
2016-08-01,
2016-08-02,2
2016-08-03,
2016-08-04,
2016-08-05,
2016-08-06,
2016-08-07,
2016-08-08,
2016-08-09,1
2016-08-10,
2016-08-11,
2016-08-12,
2016-08-13,
2016-08-14,0.2
2016-08-15,0
2016-08-16,0.5
2016-08-17,
2016-08-18,
2016-08-19,11.5
2016-08-20,
2016-08-21,0
2016-08-22,0.4
2016-08-23,8
2016-08-24,0
2016-08-25,4.5
2016-08-26,20
2016-08-27,0
2016-08-28,1.5
2016-08-29,
2016-08-30,0
2016-08-31,17.5
2016-09-01,
2016-09-02,4.5
2016-09-03,0.5
2016-09-04,
2016-09-05,
2016-09-06,
2016-09-07,
2016-09-08,4.5
2016-09-09,
2016-09-10,
2016-09-11,
2016-09-12,2.5
2016-09-13,
2016-09-14,
2016-09-15,
2016-09-16,
2016-09-17,7
2016-09-18,
2016-09-19,
2016-09-20,
2016-09-21,
2016-09-22,
2016-09-23,
2016-09-24,
2016-09-25,
2016-09-26,
2016-09-27,13.5
2016-09-28,0.5
2016-09-29,
2016-09-30,
2016-10-01,
2016-10-02,18.5
2016-10-03,6.5
2016-10-04,
2016-10-05,
2016-10-06,
2016-10-07,2
2016-10-08,6
2016-10-09,
2016-10-10,
2016-10-11,
2016-10-12,
2016-10-13,
2016-10-14,
2016-10-15,
2016-10-16,1.5
2016-10-17,
2016-10-18,
2016-10-19,
2016-10-20,
2016-10-21,
2016-10-22,
2016-10-23,2.5
2016-10-24,
2016-10-25,37
2016-10-26,0
2016-10-27,
2016-10-28,0.3
2016-10-29,
2016-10-30,
2016-10-31,0.5
2017-05-01,
2017-05-02,
2017-05-03,
2017-05-04,
2017-05-05,
2017-05-06,
2017-05-07,
2017-05-08,
2017-05-09,2.5
2017-05-10,2.5
2017-05-11,0
2017-05-12,
2017-05-13,6
2017-05-14,
2017-05-15,0
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-20,
2017-05-21,
2017-05-22,
2017-05-23,5
2017-05-24,0.1
2017-05-25,
2017-05-26,
2017-05-27,
2017-05-28,
2017-05-29,
2017-05-30,
2017-05-31,
2017-06-01,
2017-06-02,0
2017-06-03,
2017-06-04,
2017-06-05,0
2017-06-06,15.5
2017-06-07,12.5
2017-06-08,
2017-06-09,0.1
2017-06-10,4.5
2017-06-11,
2017-06-12,
2017-06-13,0
2017-06-14,
2017-06-15,
2017-06-16,
2017-06-17,
2017-06-18,
2017-06-19,
2017-06-20,0
2017-06-21,0
2017-06-22,
2017-06-23,
2017-06-24,3.5
2017-06-25,1.5
2017-06-26,29
2017-06-27,0
2017-06-28,
2017-06-29,
2017-06-30,
2017-07-01,0.5
2017-07-02,92
2017-07-03,67.5
2017-07-04,0.5
2017-07-05,
2017-07-06,34
2017-07-07,16.5
2017-07-08,4.5
2017-07-09,32.5
2017-07-10,144.5
2017-07-11,1
2017-07-12,0
2017-07-13,
2017-07-14,0
2017-07-15,42.5
