ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2015-03-05,7317,1099,3077,219,170,4746,204,629,323,704,73,23,150,2,303,250,469,22,7,53,2,1160,499,651,402,225,143,238
2015-03-06,8731,1223,4619,120,126,4964,125,1223,585,1113,98,14,576,7,417,385,761,23,12,6,0,1454,839,1237,568,179,100,209
2015-03-07,13167,5173,14751,281,254,2742,312,2750,1570,3416,419,34,430,21,1599,951,2444,47,13,40,6,3003,1863,3825,438,292,132,179
2015-03-08,13781,4505,14600,298,224,2791,373,2334,1488,3496,87,42,173,24,1884,1065,2845,75,16,9,4,3460,2278,4427,676,300,130,205
2015-03-09,7026,963,6228,101,162,1285,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,0,0,0,0,0,0,0,898,282,512,141,27,488,12,192,160,273,37,13,25,4,1782,834,1347,254,349,267,399
2015-03-11,9138,759,7262,202,191,2071,171,1190,371,572,47,52,886,4,307,213,428,28,6,58,0,1155,472,657,338,204,72,356
2015-03-12,7865,865,7179,127,257,1003,164,648,310,741,36,33,125,23,327,242,462,39,11,57,0,1180,440,1024,197,181,75,143
2015-03-13,10060,1158,7273,262,233,3402,48,2071,642,1236,422,37,1014,4,522,422,790,123,17,5,9,1684,433,1064,497,256,138,162
2015-03-14,15413,3624,16268,385,280,1928,176,2581,1867,3890,161,88,266,43,1635,1088,2617,76,11,9,10,3780,1775,4398,768,241,93,55
2015-03-15,12954,2673,11960,248,143,2923,353,2227,1630,3464,96,56,219,22,1648,936,2488,57,17,8,14,3561,1425,3858,621,181,129,197
2015-03-16,9945,1377,7257,222,327,3141,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,0,0,0,0,0,0,0,1780,618,1404,131,93,674,96,527,382,818,46,32,5,8,2584,790,1723,1017,299,272,63
2015-03-18,10548,1146,10525,71,58,1022,18,693,383,772,46,40,192,26,294,196,423,19,9,37,2,1186,508,966,367,235,77,49
2015-03-19,9843,1604,9669,206,219,1128,225,1485,897,1985,90,42,222,43,742,636,1317,34,27,0,0,1618,1287,1859,425,315,138,168
2015-03-20,10967,1494,6859,120,286,4638,558,1353,796,1762,149,40,186,12,665,666,1287,20,15,7,2,1986,1461,2516,472,265,59,135
2015-03-21,18701,5297,17079,480,245,5481,713,3260,2658,5100,376,35,369,38,1995,1088,2870,64,42,105,2,4278,2056,4964,683,247,165,275
2015-03-22,14951,5836,13883,297,246,6088,273,1850,1358,2877,119,35,141,36,1311,786,1957,46,28,66,0,3898,1668,3631,927,485,141,382
2015-03-23,10870,2891,9441,416,220,3408,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-24,0,0,0,0,0,0,0,1970,938,1733,197,60,910,8,721,453,950,138,53,26,7,3244,1530,2780,1321,244,420,9
2015-03-25,0,22570,17301,0,0,0,5269,0,3511,2904,174,25,79,329,0,0,0,0,0,0,0,576,5031,3031,1360,544,672,0
2015-03-26,12525,2592,7679,202,267,6712,257,1211,651,1519,70,79,167,27,778,619,1266,54,13,46,18,2000,822,1912,579,151,149,31
2015-03-27,13224,2458,9941,154,215,5116,256,1412,1069,1966,175,38,250,52,776,789,1420,49,34,49,13,2490,972,2096,725,316,134,191
2015-03-28,18793,6593,20294,276,306,4224,286,3309,2876,5739,124,49,217,56,2263,1362,3513,64,24,10,14,4509,2718,5659,818,409,201,140
2015-03-29,19121,5363,18717,317,271,4940,239,2149,1301,2918,116,39,330,47,1876,952,2661,68,37,30,32,4313,1609,4083,1026,422,261,130
2015-03-30,11998,3902,10906,245,240,4368,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-31,0,0,0,0,0,0,0,1702,1861,2653,228,43,539,100,559,779,1170,96,30,26,16,3425,1476,2421,928,431,727,394
2015-04-01,15398,3656,16392,231,282,2097,52,1252,820,1656,110,44,186,76,971,1071,1888,76,6,15,57,2714,1829,2794,1072,247,252,178
2015-04-02,12298,5300,11388,396,498,4859,457,1269,797,1651,84,34,282,15,871,781,1518,79,22,33,0,2680,1452,2658,829,238,263,144
2015-04-03,13608,3763,10679,531,279,5578,304,1480,1234,2339,109,41,201,24,764,1530,2044,155,24,47,24,2762,1266,2895,816,163,133,21
2015-04-04,19236,6410,22229,666,377,2190,184,3354,2568,5242,228,98,273,81,3071,1669,4425,140,16,105,54,5755,2943,7149,927,243,265,114
2015-04-05,14933,3309,10172,394,206,7115,355,1909,1139,2474,131,42,395,6,1466,770,2043,116,8,53,16,3878,1491,3829,927,273,192,148
2015-04-06,15432,4081,10848,370,147,7534,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-07,0,0,0,0,0,0,0,2367,1545,2737,175,49,707,244,1413,815,1985,138,5,97,3,4593,2833,4464,1285,298,459,920
2015-04-08,15342,8045,16161,562,105,6132,427,2204,1774,3330,146,50,392,60,1716,1260,2620,281,11,64,0,3793,1682,3493,1272,142,209,359
2015-04-09,13074,6287,13183,454,161,4912,651,2679,1682,3886,120,44,243,68,1771,1628,3247,45,12,90,5,4173,2527,5585,765,99,164,87
2015-04-10,15233,6378,15900,315,35,5311,50,3239,2855,5554,143,12,379,6,2471,2524,4590,382,6,13,4,4250,2977,5794,1060,223,116,34
2015-04-11,23333,8127,23576,448,92,5885,1459,6146,5288,10708,90,46,518,72,6195,3248,8930,231,11,128,143,7093,5455,10637,1273,175,152,311
2015-04-12,23098,6953,19441,218,75,10092,225,6205,3514,7994,174,24,1499,28,4809,2433,6986,152,11,82,11,6672,3771,8351,1102,240,281,469
2015-04-13,14846,7515,13184,346,296,8364,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-14,0,0,0,0,0,0,0,1985,1267,1726,93,32,1254,147,973,563,1306,118,8,104,0,3579,4162,5175,702,106,337,1421
